comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,corn,distance
threading,5.048043489456177,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,-1,-1,-82.01326083632672,corn,-1
threading,8.052166938781738,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,-1,-1,-82.01326083632672,corn,-1
threading,11.055585145950317,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,-1,-1,-82.01326083632672,corn,-1
threading,14.05972146987915,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,-1,-1,-82.01326083632672,corn,-1
open,15.055919647216797,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,-1,-1,-82.01326083632672,corn,-1
threading,17.06345844268799,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,30.0,30.0,-82.01326083632672,corn,-1
threading,20.067344903945923,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,30.0,30.0,-82.01326083632672,corn,-1
threading,23.07103729248047,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,30.0,30.0,-82.01326083632672,corn,-1
threading,26.07482099533081,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,30.0,30.0,-82.01326083632672,corn,-1
deployment,28.811801195144653,deployment,1020.5280923348104,36.11411666666667,140.09784166666665,0,0,-82.01326083632672,corn,-1
threading,29.078516960144043,gps,1020.5280923348104,36.11411666666667,140.09784166666665,5,5,-40.2463434016662,corn,-1
threading,32.082231283187866,gps,1020.5280923348104,36.11411666666667,140.09784166666665,35.0,35.0,-33.463551944503735,corn,-1
dutychange,32.222248554229736,gps,1020.5280923348104,36.11411666666667,140.09784166666665,29.0,35.0,-33.463551944503735,corn,-1
dutychange,34.27797293663025,gps,1020.5280923348104,36.11411666666667,140.09784166666665,30.0,35.0,-23.636884681881448,corn,-1
threading,35.085909605026245,gps,1020.5280923348104,36.11411666666667,140.09784166666665,30.0,35.0,-23.636884681881448,corn,-1
dutychange,36.435062646865845,gps,1020.5280923348104,36.11411666666667,140.09784166666665,33.0,35.0,-38.16622327834928,corn,-1
