comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,0.0015249252319335938,land,-1,-1,-1,-1,-1,-1,,-1
threading,3.006240129470825,gps,-1,36.11205666666667,140.09861666666666,35.0,50.4,-53.2115028773987,,-1
dutychange,4.203912019729614,gps,-1,36.11205666666667,140.09861833333332,35.0,30.0,-53.2115028773987,115.22167687885904,-1
threading,6.010344505310059,gps,-1,36.11206,140.09862333333334,35.0,36.0,-53.2115028773987,,-1
dutychange,6.360576868057251,gps,-1,36.11206,140.09862333333334,35.0,30.0,-53.2115028773987,117.06783949686924,-1
dutychange,8.520145177841187,gps,-1,36.11206166666667,140.098625,35.0,30.0,-53.2115028773987,118.07985747006846,-1
threading,9.014455080032349,gps,-1,36.11206166666667,140.098625,35.0,30.0,-53.2115028773987,,-1
dutychange,10.675872802734375,gps,-1,36.11206166666667,140.098625,35.0,30.0,-53.2115028773987,118.07985747006846,-1
threading,12.018007755279541,gps,-1,36.11206166666667,140.098625,35.0,36.0,-53.2115028773987,,-1
dutychange,12.830173015594482,gps,-1,36.11206166666667,140.098625,35.0,30.0,-53.2115028773987,118.07985747006846,-1
threading,15.021567106246948,gps,-1,36.11206166666667,140.098625,18,-21.599999999999998,-53.2115028773987,,-1
threading,18.024810075759888,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,21.02822971343994,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,24.03238558769226,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,27.03633689880371,gps,-1,36.11206166666667,140.09862666666666,20,-24.0,-53.2115028773987,,-1
threading,30.039811849594116,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,33.04394745826721,gps,-1,36.11206166666667,140.09862666666666,15.0,32.4,-53.2115028773987,,-1
threading,36.04780840873718,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,39.051777601242065,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,42.055238485336304,gps,-1,36.11206166666667,140.09862666666666,20,-24.0,-53.2115028773987,,-1
threading,45.05939030647278,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,48.063538551330566,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,51.067617893218994,gps,-1,36.11206166666667,140.09862666666666,5,6.0,-53.2115028773987,,-1
threading,54.06848645210266,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,57.072431564331055,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,60.07692217826843,gps,-1,36.11206166666667,140.09862666666666,20,-24.0,-53.2115028773987,,-1
threading,63.08061623573303,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,66.08475708961487,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,69.08891296386719,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,72.09303617477417,gps,-1,36.11206166666667,140.09862666666666,15.0,27.599999999999998,-53.2115028773987,,-1
threading,75.09726357460022,gps,-1,36.11206166666667,140.09862666666666,20,-24.0,-53.2115028773987,,-1
threading,78.101407289505,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,81.1060311794281,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,84.11012411117554,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,87.11378622055054,gps,-1,36.11206166666667,140.09862666666666,20,-24.0,-53.2115028773987,,-1
threading,90.1154522895813,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,93.11711072921753,gps,-1,36.11206166666667,140.09862666666666,22.0,26.4,-53.2115028773987,,-1
threading,96.11991739273071,gps,-1,36.11206166666667,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,99.12363743782043,gps,-1,36.11206,140.09862666666666,0,0.0,-53.2115028773987,,-1
threading,102.1277244091034,gps,-1,36.11206,140.09862666666666,20,-24.0,-53.2115028773987,,-1
threading,105.13102912902832,gps,-1,36.11206,140.09862833333332,20,-24.0,-53.2115028773987,,-1
threading,108.1348147392273,gps,-1,36.11206,140.09862833333332,0,0.0,-53.2115028773987,,-1
threading,111.13862085342407,gps,-1,36.11205833333333,140.09862833333332,30.0,27.599999999999998,-53.2115028773987,,-1
threading,114.13975143432617,gps,-1,36.11205666666667,140.09862833333332,0,0.0,-53.2115028773987,,-1
threading,117.14247560501099,gps,-1,36.112055,140.09863,20,-24.0,-53.2115028773987,,-1
threading,120.14454078674316,gps,-1,36.112053333333336,140.09863166666668,5,6.0,-53.2115028773987,,-1
threading,123.14786458015442,gps,-1,36.112051666666666,140.09863333333334,0,0.0,-53.2115028773987,,-1
threading,126.15158557891846,gps,-1,36.11205,140.09863166666668,5,6.0,-53.2115028773987,,-1
